Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Individual,infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time
SRR3471660,RNA-Seq,100,3237816700,PRJNA320361,SAMN04932904,2164241355,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739018,GSM2141275,AF43,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:58:00Z,1,GSM2141275,Macrophages,SRP074274,2 hr
SRR3471661,RNA-Seq,100,2832269500,PRJNA320361,SAMN04932905,1891617461,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739019,GSM2141276,AF43,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:57:00Z,1,GSM2141276,Macrophages,SRP074274,2 hr
SRR3471662,RNA-Seq,100,2245444200,PRJNA320361,SAMN04932906,1496791392,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739020,GSM2141277,AF43,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:52:00Z,1,GSM2141277,Macrophages,SRP074274,2 hr
SRR3471663,RNA-Seq,100,3508246000,PRJNA320361,SAMN04932907,2431909495,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739021,GSM2141278,AF47,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:56:00Z,1,GSM2141278,Macrophages,SRP074274,2 hr
SRR3471664,RNA-Seq,100,2877876400,PRJNA320361,SAMN04932908,1996318311,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739022,GSM2141279,AF47,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:58:00Z,1,GSM2141279,Macrophages,SRP074274,2 hr
SRR3471665,RNA-Seq,100,3180273100,PRJNA320361,SAMN04932909,2207056161,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739023,GSM2141280,AF47,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:54:00Z,1,GSM2141280,Macrophages,SRP074274,2 hr
SRR3471666,RNA-Seq,100,2347924500,PRJNA320361,SAMN04932910,1585837949,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739024,GSM2141281,AF53,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T10:56:00Z,1,GSM2141281,Macrophages,SRP074274,2 hr
SRR3471667,RNA-Seq,100,3281704200,PRJNA320361,SAMN04932911,2216349203,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739025,GSM2141282,AF53,Non-infected,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:01:00Z,1,GSM2141282,Macrophages,SRP074274,2 hr
SRR3471668,RNA-Seq,100,3674085400,PRJNA320361,SAMN04932912,2497140916,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739026,GSM2141283,AF53,Salmonella,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T11:02:00Z,1,GSM2141283,Macrophages,SRP074274,2 hr
SRR3471669,RNA-Seq,100,5854905400,PRJNA320361,SAMN04932913,4216484671,macrophage,GEO,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX1739027,GSM2141284,AF57,Listeria,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-09-07T00:00:00Z,2016-05-03T12:17:00Z,1,GSM2141284,Macrophages,SRP074274,2 hr
